# this file contains the average of dx^2, dy^2, and dz^2 of the particle ensemble over time
# number of particles: 2000

time,x,y,z
+3.120000e-13,+1.547490e-16,+9.353208e-17,+1.555668e-16
+3.130000e-13,+1.558269e-16,+9.392644e-17,+1.562387e-16
+3.140000e-13,+1.558465e-16,+9.349298e-17,+1.566135e-16
+3.150000e-13,+1.569186e-16,+9.463700e-17,+1.575212e-16
+3.160000e-13,+1.569650e-16,+9.487492e-17,+1.579573e-16
+3.170000e-13,+1.581321e-16,+9.529515e-17,+1.583551e-16
+3.180000e-13,+1.579071e-16,+9.598622e-17,+1.597464e-16
+3.190000e-13,+1.579233e-16,+9.634466e-17,+1.600246e-16
+3.200000e-13,+1.583200e-16,+9.681713e-17,+1.605490e-16
+3.210000e-13,+1.582406e-16,+9.702551e-17,+1.611357e-16
+3.220000e-13,+1.587474e-16,+9.755556e-17,+1.610818e-16
+3.230000e-13,+1.587566e-16,+9.798277e-17,+1.614803e-16
+3.240000e-13,+1.593823e-16,+9.817013e-17,+1.624487e-16
+3.250000e-13,+1.597445e-16,+9.807830e-17,+1.630164e-16
+3.260000e-13,+1.607236e-16,+9.935927e-17,+1.630381e-16
+3.270000e-13,+1.608720e-16,+9.913649e-17,+1.615616e-16
+3.280000e-13,+1.611308e-16,+9.953778e-17,+1.623134e-16
+3.290000e-13,+1.613242e-16,+9.973110e-17,+1.620174e-16
+3.300000e-13,+1.618907e-16,+1.000219e-16,+1.636396e-16
+3.310000e-13,+1.617725e-16,+1.003642e-16,+1.651489e-16
+3.320000e-13,+1.622017e-16,+1.005539e-16,+1.647344e-16
+3.330000e-13,+1.628232e-16,+1.007302e-16,+1.655496e-16
+3.340000e-13,+1.629931e-16,+1.013907e-16,+1.659394e-16
+3.350000e-13,+1.635878e-16,+1.016850e-16,+1.670468e-16
+3.360000e-13,+1.648661e-16,+1.014179e-16,+1.667196e-16
+3.370000e-13,+1.654099e-16,+1.008546e-16,+1.667241e-16
+3.380000e-13,+1.657839e-16,+1.005451e-16,+1.675806e-16
+3.390000e-13,+1.654614e-16,+1.009998e-16,+1.683331e-16
+3.400000e-13,+1.661828e-16,+1.014097e-16,+1.689271e-16
+3.410000e-13,+1.661407e-16,+1.016158e-16,+1.686379e-16
+3.420000e-13,+1.670578e-16,+1.013286e-16,+1.685877e-16
+3.430000e-13,+1.670362e-16,+1.015199e-16,+1.690304e-16
+3.440000e-13,+1.678459e-16,+1.012413e-16,+1.702686e-16
+3.450000e-13,+1.681713e-16,+1.016392e-16,+1.700981e-16
+3.460000e-13,+1.687147e-16,+1.020799e-16,+1.706904e-16
+3.470000e-13,+1.690607e-16,+1.030246e-16,+1.698268e-16
+3.480000e-13,+1.712050e-16,+1.035944e-16,+1.703812e-16
+3.490000e-13,+1.714037e-16,+1.031165e-16,+1.704188e-16
+3.500000e-13,+1.725620e-16,+1.037212e-16,+1.706066e-16
+3.510000e-13,+1.727607e-16,+1.029569e-16,+1.710253e-16
+3.520000e-13,+1.723063e-16,+1.031048e-16,+1.709478e-16
+3.530000e-13,+1.726157e-16,+1.035552e-16,+1.713574e-16
+3.540000e-13,+1.737499e-16,+1.037863e-16,+1.722008e-16
+3.550000e-13,+1.741413e-16,+1.033882e-16,+1.738436e-16
+3.560000e-13,+1.749396e-16,+1.032524e-16,+1.744322e-16
+3.570000e-13,+1.748688e-16,+1.038116e-16,+1.738528e-16
+3.580000e-13,+1.759646e-16,+1.039474e-16,+1.739958e-16
+3.590000e-13,+1.766132e-16,+1.047812e-16,+1.736854e-16
+3.600000e-13,+1.774217e-16,+1.043283e-16,+1.742391e-16
+3.610000e-13,+1.780859e-16,+1.048315e-16,+1.744349e-16
+3.620000e-13,+1.783318e-16,+1.048391e-16,+1.750014e-16
+3.630000e-13,+1.784917e-16,+1.047948e-16,+1.747398e-16
+3.640000e-13,+1.795608e-16,+1.052638e-16,+1.753716e-16
+3.650000e-13,+1.805673e-16,+1.059998e-16,+1.748851e-16
+3.660000e-13,+1.819133e-16,+1.066794e-16,+1.753687e-16
+3.670000e-13,+1.812940e-16,+1.070871e-16,+1.757846e-16
+3.680000e-13,+1.806574e-16,+1.070471e-16,+1.760116e-16
+3.690000e-13,+1.795307e-16,+1.077230e-16,+1.761209e-16
+3.700000e-13,+1.796929e-16,+1.077580e-16,+1.761852e-16
+3.710000e-13,+1.815642e-16,+1.080588e-16,+1.766484e-16
+3.720000e-13,+1.815948e-16,+1.080446e-16,+1.764854e-16
